Name,Label,Canton_name
Aadorf,11,Winterthur
Aarau,1,Bern
Aarberg,1,Bern
Aarburg,1,Bern
Aarwangen,1,Bern
Abtwil,15,Luzern
Aclens,6,Lausanne
Acquarossa,2,Lugano
Adelboden,3,Bulle
Adligenswil,20,Zug
Adlikon,4,Küsnacht (ZH)
Adliswil,20,Zug
Aedermannsdorf,22,Basel
Aefligen,15,Luzern
Aegerten,16,Biel/Bienne
Aesch (BL),22,Basel
Aesch (LU),10,Baden
Aesch (ZH),23,Zürich
Aeschi (SO),18,Vechigen
Aeschi bei Spiez,12,Sigriswil
Aeugst am Albis,20,Zug
Affeltrangen,11,Winterthur
Affoltern am Albis,23,Zürich
Affoltern im Emmental,18,Vechigen
Agarn,7,Sion
Agiez,3,Bulle
Agno,2,Lugano
Aigle,3,Bulle
Aire-la-Ville,14,Genève
Airolo,19,Estavayer-le-Lac
Alberswil,5,Sursee
Albinen,7,Sion
Albula/Alvra,21,Chur
Alchenstorf,18,Vechigen
Allaman,6,Lausanne
Alle,15,Luzern
Allmendingen,0,Thun
Allschwil,22,Basel
Alpnach,9,Horw
Alpthal,20,Zug
Altbüron,5,Sursee
Altdorf (UR),9,Horw
Altendorf,21,Chur
Alterswil,1,Bern
Altikon,11,Winterthur
Altishofen,5,Sursee
Altnau,25,St. Gallen
Alto Malcantone,2,Lugano
Altstätten,21,Chur
Altwis,15,Luzern
Amden,21,Chur
Amlikon-Bissegg,11,Winterthur
Ammerswil,10,Baden
Amriswil,25,St. Gallen
Amsoldingen,0,Thun
Andeer,21,Chur
Andelfingen,4,Küsnacht (ZH)
Andermatt,19,Estavayer-le-Lac
Andiast,21,Chur
Andwil (SG),25,St. Gallen
Anières,14,Genève
Anniviers,7,Sion
Anwil,25,St. Gallen
Appenzell,21,Chur
Apples,6,Lausanne
Aranno,2,Lugano
Arbaz,7,Sion
Arbedo-Castione,2,Lugano
Arboldswil,22,Basel
Arbon,25,St. Gallen
Arch,16,Biel/Bienne
Arconciel,8,Fribourg
Ardon,3,Bulle
Arisdorf,25,St. Gallen
Aristau,23,Zürich
Arlesheim,22,Basel
Arnex-sur-Nyon,6,Lausanne
Arnex-sur-Orbe,3,Bulle
Arni (AG),23,Zürich
Arni (BE),18,Vechigen
Arogno,13,Mendrisio
Arosa,21,Chur
Arth,20,Zug
Arzier-Le Muids,3,Bulle
Ascona,2,Lugano
Assens,6,Lausanne
Astano,2,Lugano
Attalens,3,Bulle
Attelwil,5,Sursee
Attinghausen,9,Horw
Attiswil,15,Luzern
Au (SG),25,St. Gallen
Aubonne,3,Bulle
Auboranges,19,Estavayer-le-Lac
Auenstein,10,Baden
Augst,22,Basel
Ausserberg,21,Chur
Auswil,18,Vechigen
Autafond,19,Estavayer-le-Lac
Autigny,19,Estavayer-le-Lac
Auw,15,Luzern
Avegno Gordevio,2,Lugano
Avenches,17,Murten
Avers,21,Chur
Avry,19,Estavayer-le-Lac
Avully,14,Genève
Avusy,14,Genève
Ayent,7,Sion
Baar,20,Zug
Bachenbülach,23,Zürich
Bachs,23,Zürich
Bad Ragaz,21,Chur
Bad Zurzach,10,Baden
Baden,10,Baden
Bagnes,3,Bulle
Baldingen,10,Baden
Balerna,13,Mendrisio
Balgach,25,St. Gallen
Ballaigues,3,Bulle
Ballens,6,Lausanne
Ballwil,15,Luzern
Balm bei Günsberg,15,Luzern
Balsthal,1,Bern
Baltschieder,21,Chur
Bangerten,16,Biel/Bienne
Bannwil,15,Luzern
Barberêche,1,Bern
Bardonnex,14,Genève
Bargen (BE),1,Bern
Bargen (SH),23,Zürich
Bas-Intyamon,3,Bulle
Bas-Vully,17,Murten
Basadingen-Schlattingen,23,Zürich
Basel,22,Basel
Basse-Allaine,15,Luzern
Bassersdorf,23,Zürich
Bassins,3,Bulle
Bauen,9,Horw
Baulmes,24,La Chaux-de-Fonds
Bauma,11,Winterthur
Bavois,6,Lausanne
Beatenberg,9,Horw
Beckenried,9,Horw
Bedano,2,Lugano
Bedigliora,2,Lugano
Bedretto,2,Lugano
Beggingen,23,Zürich
Begnins,3,Bulle
Beinwil (Freiamt),15,Luzern
Beinwil (SO),22,Basel
Beinwil am See,10,Baden
Belfaux,19,Estavayer-le-Lac
Bellach,15,Luzern
Bellevue,14,Genève
Bellikon,23,Zürich
Bellinzona,2,Lugano
Bellmund,16,Biel/Bienne
Bellwald,21,Chur
Belmont-sur-Lausanne,6,Lausanne
Belmont-sur-Yverdon,17,Murten
Belp,0,Thun
Belprahon,16,Biel/Bienne
Benken (SG),21,Chur
Benken (ZH),4,Küsnacht (ZH)
Bennwil,22,Basel
Bercher,17,Murten
Berg (SG),25,St. Gallen
Berg (TG),11,Winterthur
Berg am Irchel,4,Küsnacht (ZH)
Bergdietikon,23,Zürich
Bergün/Bravuogn,21,Chur
Berikon,23,Zürich
Beringen,23,Zürich
Berken,15,Luzern
Berlingen,11,Winterthur
Bern,1,Bern
Berneck,25,St. Gallen
Bernex,14,Genève
Berolle,6,Lausanne
Beromünster,15,Luzern
Besenbüren,23,Zürich
Bettenhausen,18,Vechigen
Bettens,6,Lausanne
Bettingen,22,Basel
Bettlach,16,Biel/Bienne
Bettmeralp,21,Chur
Bettwiesen,11,Winterthur
Bettwil,10,Baden
Beurnevésin,15,Luzern
Bevaix,24,La Chaux-de-Fonds
Bever,21,Chur
Bex,3,Bulle
Biasca,2,Lugano
Biberist,15,Luzern
Biberstein,10,Baden
Bichelsee-Balterswil,11,Winterthur
Biel-Benken,22,Basel
Biel/Bienne,16,Biel/Bienne
Biezwil,16,Biel/Bienne
Biglen,0,Thun
Billens-Hennens,19,Estavayer-le-Lac
Binn,21,Chur
Binningen,22,Basel
Bioggio,2,Lugano
Bioley-Magnoux,17,Murten
Bioley-Orjulaz,6,Lausanne
Birmensdorf (ZH),23,Zürich
Birmenstorf (AG),10,Baden
Birr,10,Baden
Birrhard,10,Baden
Birrwil,10,Baden
Birsfelden,22,Basel
Birwinken,25,St. Gallen
