Name,Label,Canton_name
Frasco,18,Lugano
Fraubrunnen,25,Basel
Frauenfeld,14,Winterthur
Frauenkappelen,17,Bern
Freienbach,14,Winterthur
Freienstein-Teufen,11,Zürich
Freienwil,19,Baden
Freimettigen,7,Köniz
Frenkendorf,3,Muttenz
Fresens,22,La Chaux-de-Fonds
Fribourg,7,Köniz
Frick,3,Muttenz
Froideville,24,Lausanne
Frutigen,12,Brig-Glis
Fräschels,1,Biel/Bienne
Fulenbach,0,Kriens
Full-Reuenthal,19,Baden
Fully,2,Sion
Furna,4,Chur
Fällanden,11,Zürich
Féchy,20,Gland
Fétigny,16,Luzern
Füllinsdorf,3,Muttenz
Fürstenau,10,Davos
Gachnang,14,Winterthur
Gais,14,Winterthur
Gaiserwald,14,Winterthur
Galgenen,14,Winterthur
Galmiz,5,Genève
Gals,1,Biel/Bienne
Gambarogno,18,Lugano
Gampel-Bratsch,12,Brig-Glis
Gampelen,1,Biel/Bienne
Gams,14,Winterthur
Gansingen,19,Baden
Gebenstorf,19,Baden
Gelterfingen,7,Köniz
Gelterkinden,3,Muttenz
Geltwil,23,Aarau
Gempen,3,Muttenz
Gempenach,5,Genève
Genolier,20,Gland
Genthod,5,Genève
Genève,5,Genève
Gerlafingen,25,Basel
Geroldswil,11,Zürich
Gersau,19,Baden
Gerzensee,7,Köniz
Gettnau,0,Kriens
Geuensee,0,Kriens
Giebenach,3,Muttenz
Giez,5,Genève
Giffers,7,Köniz
Gilly,20,Gland
Gimel,20,Gland
Gingins,5,Genève
Giornico,18,Lugano
Gipf-Oberfrick,3,Muttenz
Gisikon,16,Luzern
Giswil,19,Baden
Giubiasco,18,Lugano
Givisiez,16,Luzern
Givrins,5,Genève
Gland,20,Gland
Glarus,4,Chur
Glarus Nord,14,Winterthur
Glarus Süd,4,Chur
Glattfelden,11,Zürich
Gletterens,16,Luzern
Gnosca,21,Bellinzona
Golaten,1,Biel/Bienne
Goldach,14,Winterthur
Gollion,6,Montreux
Gommiswald,14,Winterthur
Gondiswil,0,Kriens
Gonten,14,Winterthur
Gontenschwil,23,Aarau
Gordola,18,Lugano
Gorduno,21,Bellinzona
Gorgier,22,La Chaux-de-Fonds
Gossau (SG),14,Winterthur
Gossau (ZH),14,Winterthur
Gottlieben,14,Winterthur
Goumoëns,6,Montreux
Graben,25,Basel
Grabs,14,Winterthur
Grafschaft,12,Brig-Glis
Grancia,18,Lugano
