Name,Label,Canton_name
Aadorf,19,Winterthur
Aarau,21,Aarau
Aarberg,5,Bern
Aarburg,6,Solothurn
Aarwangen,6,Solothurn
Abtwil,3,Emmen
Aclens,20,Lausanne
Acquarossa,25,Lugano
Adelboden,5,Bern
Adligenswil,3,Emmen
Adlikon,19,Winterthur
Adliswil,9,Zürich
Aedermannsdorf,6,Solothurn
Aefligen,6,Solothurn
Aegerten,6,Solothurn
Aesch (BL),6,Solothurn
Aesch (LU),21,Aarau
Aesch (ZH),21,Aarau
Aeschi (SO),5,Bern
Aeschi bei Spiez,5,Bern
Aeugst am Albis,3,Emmen
Affeltrangen,19,Winterthur
Affoltern am Albis,3,Emmen
Affoltern im Emmental,3,Emmen
Agarn,7,Sion
Agiez,20,Lausanne
Agno,25,Lugano
Aigle,7,Sion
Aire-la-Ville,8,Genève
Airolo,25,Lugano
Alberswil,3,Emmen
Albinen,7,Sion
Albula/Alvra,11,Chur
Alchenstorf,5,Bern
Allaman,20,Lausanne
Alle,14,La Chaux-de-Fonds
Allmendingen,5,Bern
Allschwil,16,Basel
Alpnach,13,Stans
Alpthal,4,Luzern
Altbüron,6,Solothurn
Altdorf (UR),12,Altdorf (UR)
Altendorf,22,Rapperswil-Jona
Alterswil,17,Köniz
Altikon,9,Zürich
Altishofen,3,Emmen
Altnau,19,Winterthur
Alto Malcantone,25,Lugano
Altstätten,15,St. Gallen
Altwis,21,Aarau
Amden,15,St. Gallen
Amlikon-Bissegg,19,Winterthur
Ammerswil,21,Aarau
Amriswil,19,Winterthur
Amsoldingen,5,Bern
Andeer,11,Chur
Andelfingen,9,Zürich
Andermatt,25,Lugano
Andiast,11,Chur
Andwil (SG),19,Winterthur
Anières,20,Lausanne
Anniviers,7,Sion
Anwil,2,Liestal
Appenzell,15,St. Gallen
Apples,20,Lausanne
Aranno,25,Lugano
Arbaz,5,Bern
Arbedo-Castione,25,Lugano
Arboldswil,6,Solothurn
Arbon,15,St. Gallen
Arch,6,Solothurn
Arconciel,17,Köniz
Ardon,7,Sion
Arisdorf,2,Liestal
Aristau,21,Aarau
Arlesheim,6,Solothurn
Arnex-sur-Nyon,20,Lausanne
Arnex-sur-Orbe,20,Lausanne
Arni (AG),21,Aarau
Arni (BE),5,Bern
Arogno,25,Lugano
Arosa,11,Chur
Arth,4,Luzern
Arzier-Le Muids,20,Lausanne
Ascona,25,Lugano
Assens,20,Lausanne
Astano,25,Lugano
Attalens,20,Lausanne
Attelwil,21,Aarau
Attinghausen,12,Altdorf (UR)
Attiswil,6,Solothurn
Au (SG),15,St. Gallen
Aubonne,20,Lausanne
Auboranges,20,Lausanne
Auenstein,21,Aarau
Augst,2,Liestal
Ausserberg,7,Sion
Auswil,3,Emmen
Autafond,17,Köniz
Autigny,17,Köniz
Auw,3,Emmen
Avegno Gordevio,25,Lugano
Avenches,17,Köniz
Avers,11,Chur
Avry,17,Köniz
Avully,8,Genève
Avusy,8,Genève
Ayent,7,Sion
Baar,9,Zürich
Bachenbülach,9,Zürich
Bachs,9,Zürich
Bad Ragaz,15,St. Gallen
Bad Zurzach,21,Aarau
Baden,21,Aarau
Bagnes,7,Sion
Baldingen,21,Aarau
Balerna,25,Lugano
Balgach,15,St. Gallen
Ballaigues,20,Lausanne
Ballens,20,Lausanne
Ballwil,3,Emmen
Balm bei Günsberg,6,Solothurn
Balsthal,6,Solothurn
Baltschieder,7,Sion
Bangerten,5,Bern
Bannwil,6,Solothurn
Barberêche,17,Köniz
Bardonnex,8,Genève
Bargen (BE),5,Bern
Bargen (SH),18,Schaffhausen
Bas-Intyamon,20,Lausanne
Bas-Vully,17,Köniz
Basadingen-Schlattingen,19,Winterthur
Basel,16,Basel
Basse-Allaine,14,La Chaux-de-Fonds
Bassersdorf,9,Zürich
Bassins,20,Lausanne
Bauen,12,Altdorf (UR)
Baulmes,20,Lausanne
Bauma,9,Zürich
Bavois,20,Lausanne
Beatenberg,5,Bern
Beckenried,13,Stans
Bedano,25,Lugano
Bedigliora,25,Lugano
Bedretto,25,Lugano
Beggingen,18,Schaffhausen
Begnins,20,Lausanne
Beinwil (Freiamt),3,Emmen
Beinwil (SO),6,Solothurn
Beinwil am See,21,Aarau
Belfaux,17,Köniz
Bellach,6,Solothurn
Bellevue,8,Genève
Bellikon,9,Zürich
Bellinzona,25,Lugano
Bellmund,5,Bern
Bellwald,7,Sion
Belmont-sur-Lausanne,20,Lausanne
Belmont-sur-Yverdon,20,Lausanne
Belp,5,Bern
Belprahon,14,La Chaux-de-Fonds
Benken (SG),15,St. Gallen
Benken (ZH),18,Schaffhausen
Bennwil,2,Liestal
Bercher,20,Lausanne
Berg (SG),15,St. Gallen
Berg (TG),19,Winterthur
Berg am Irchel,9,Zürich
Bergdietikon,9,Zürich
Bergün/Bravuogn,11,Chur
Berikon,21,Aarau
Beringen,18,Schaffhausen
Berken,6,Solothurn
Berlingen,19,Winterthur
Bern,5,Bern
Berneck,15,St. Gallen
Bernex,8,Genève
Berolle,20,Lausanne
Beromünster,3,Emmen
Besenbüren,21,Aarau
Bettenhausen,5,Bern
Bettens,20,Lausanne
Bettingen,16,Basel
Bettlach,6,Solothurn
Bettmeralp,7,Sion
Bettwiesen,19,Winterthur
Bettwil,21,Aarau
Beurnevésin,14,La Chaux-de-Fonds
Bevaix,23,Neuchâtel
Bever,11,Chur
Bex,7,Sion
Biasca,25,Lugano
Biberist,6,Solothurn
