Name,Label,Canton_name
Aadorf,19,Frauenfeld
Aarau,21,Aarau
Aarberg,5,Bern
Aarburg,6,Solothurn
Aarwangen,6,Solothurn
Abtwil,21,Aarau
Aclens,20,Genève
Acquarossa,25,Lugano
Adelboden,7,Sion
Adligenswil,22,Luzern
Adlikon,9,Zürich
Adliswil,9,Zürich
Aedermannsdorf,6,Solothurn
Aefligen,5,Bern
Aegerten,5,Bern
Aesch (BL),2,Basel
Aesch (LU),21,Aarau
Aesch (ZH),21,Aarau
Aeschi (SO),5,Bern
Aeschi bei Spiez,5,Bern
Aeugst am Albis,9,Zürich
Affeltrangen,19,Frauenfeld
Affoltern am Albis,9,Zürich
Affoltern im Emmental,5,Bern
Agarn,7,Sion
Agiez,20,Genève
Agno,25,Lugano
Aigle,20,Genève
Aire-la-Ville,8,Lancy
Airolo,15,St. Gallen
Alberswil,3,Kriens
Albinen,7,Sion
Albula/Alvra,11,Chur
Alchenstorf,5,Bern
Allaman,20,Genève
Alle,14,Porrentruy
Allmendingen,5,Bern
Allschwil,2,Basel
Alpnach,10,Sarnen
Alpthal,15,St. Gallen
Altbüron,6,Solothurn
Altdorf (UR),12,Altdorf (UR)
Altendorf,9,Zürich
Alterswil,5,Bern
Altikon,9,Zürich
Altishofen,3,Kriens
Altnau,19,Frauenfeld
Alto Malcantone,25,Lugano
Altstätten,15,St. Gallen
Altwis,21,Aarau
Amden,22,Luzern
Amlikon-Bissegg,19,Frauenfeld
Ammerswil,21,Aarau
Amriswil,19,Frauenfeld
Amsoldingen,5,Bern
Andeer,11,Chur
Andelfingen,9,Zürich
Andermatt,25,Lugano
Andiast,15,St. Gallen
Andwil (SG),15,St. Gallen
Anières,20,Genève
Anniviers,7,Sion
Anwil,21,Aarau
Appenzell,15,St. Gallen
Apples,20,Genève
Aranno,25,Lugano
Arbaz,7,Sion
Arbedo-Castione,25,Lugano
Arboldswil,2,Basel
Arbon,15,St. Gallen
Arch,6,Solothurn
Arconciel,17,Lausanne
Ardon,7,Sion
Arisdorf,2,Basel
Aristau,21,Aarau
Arlesheim,2,Basel
Arnex-sur-Nyon,20,Genève
Arnex-sur-Orbe,20,Genève
Arni (AG),21,Aarau
Arni (BE),5,Bern
Arogno,25,Lugano
Arosa,11,Chur
Arth,9,Zürich
Arzier-Le Muids,20,Genève
Ascona,25,Lugano
Assens,17,Lausanne
Astano,25,Lugano
Attalens,17,Lausanne
Attelwil,3,Kriens
Attinghausen,15,St. Gallen
Attiswil,6,Solothurn
Au (SG),15,St. Gallen
Aubonne,20,Genève
Auboranges,17,Lausanne
Auenstein,21,Aarau
Augst,2,Basel
Ausserberg,7,Sion
Auswil,5,Bern
Autafond,5,Bern
Autigny,17,Lausanne
Auw,3,Kriens
Avegno Gordevio,25,Lugano
Avenches,5,Bern
Avers,11,Chur
Avry,17,Lausanne
Avully,8,Lancy
Avusy,8,Lancy
Ayent,7,Sion
Baar,9,Zürich
Bachenbülach,9,Zürich
Bachs,21,Aarau
Bad Ragaz,11,Chur
Bad Zurzach,21,Aarau
Baden,21,Aarau
Bagnes,7,Sion
Baldingen,21,Aarau
Balerna,25,Lugano
Balgach,15,St. Gallen
Ballaigues,20,Genève
Ballens,20,Genève
Ballwil,3,Kriens
Balm bei Günsberg,6,Solothurn
Balsthal,6,Solothurn
Baltschieder,7,Sion
Bangerten,5,Bern
Bannwil,6,Solothurn
Barberêche,5,Bern
Bardonnex,8,Lancy
Bargen (BE),5,Bern
Bargen (SH),18,Schaffhausen
Bas-Intyamon,7,Sion
Bas-Vully,5,Bern
Basadingen-Schlattingen,9,Zürich
Basel,2,Basel
Basse-Allaine,14,Porrentruy
Bassersdorf,9,Zürich
Bassins,20,Genève
Bauen,12,Altdorf (UR)
Baulmes,20,Genève
Bauma,22,Luzern
Bavois,20,Genève
Beatenberg,5,Bern
Beckenried,12,Altdorf (UR)
Bedano,25,Lugano
Bedigliora,25,Lugano
Bedretto,15,St. Gallen
Beggingen,18,Schaffhausen
Begnins,20,Genève
Beinwil (Freiamt),3,Kriens
Beinwil (SO),6,Solothurn
Beinwil am See,3,Kriens
Belfaux,17,Lausanne
Bellach,6,Solothurn
Bellevue,8,Lancy
Bellikon,21,Aarau
Bellinzona,25,Lugano
Bellmund,5,Bern
Bellwald,7,Sion
Belmont-sur-Lausanne,17,Lausanne
Belmont-sur-Yverdon,20,Genève
Belp,5,Bern
Belprahon,5,Bern
Benken (SG),22,Luzern
Benken (ZH),18,Schaffhausen
Bennwil,6,Solothurn
Bercher,20,Genève
Berg (SG),15,St. Gallen
