Name,Label
Castel San Pietro,4
Casti-Wergenstein,3
Cazis,5
Celerina/Schlarigna,6
Centovalli,4
Cerentino,4
Cevio,4
Chalais,5
Cham,5
Chamblon,6
Chamoson,5
Champagne,6
Champoz,0
Champtauroz,6
Champvent,2
Champéry,5
Chancy,6
Chapelle (Glâne),5
Chardonne,6
Charrat,6
Chavannes-de-Bogis,7
Chavannes-des-Bois,6
Chavannes-le-Chêne,2
Chavannes-le-Veyron,2
Chavannes-près-Renens,6
Chavannes-sur-Moudon,2
Chavornay,6
Cheiry,5
Chermignon,5
Chesalles-sur-Moudon,6
Cheseaux-Noréaz,6
Cheseaux-sur-Lausanne,6
Chessel,6
Chevilly,6
Chevroux,6
Chexbres,6
Cheyres,7
Chiasso,4
Chigny,6
Chippis,5
Choulex,6
Chur,5
Churwalden,3
Châbles,7
Château-d'Oex,6
Châtel-Saint-Denis,5
Châtel-sur-Montsalvens,3
Châtillon (FR),5
Châtillon (JU),5
Châtonnaye,7
Chénens,7
Chéserex,6
Chésopelloz,5
Chêne-Bougeries,6
Chêne-Bourg,6
Chêne-Pâquier,6
Clarmont,6
Claro,4
Clavaleyres,4
Clos du Doubs,5
Coeuve,4
Coinsins,6
Coldrerio,4
Collex-Bossy,6
Collina d'Oro,4
Collombey-Muraz,5
Collonge-Bellerive,6
Collonges,4
Cologny,6
Comano,4
Commugny,6
Concise,6
Confignon,6
Conters im Prättigau,0
Conthey,5
Coppet,6
Corban,5
Corbeyrier,2
Corbières,5
Corcelles (BE),0
Corcelles-Cormondrèche,6
Corcelles-le-Jorat,6
Corcelles-près-Concise,6
Corcelles-près-Payerne,6
Corcelles-sur-Chavornay,6
Corgémont,0
Corippo,4
Corminboeuf,5
Cormoret,0
Cornaux,6
Cornol,4
Corpataux-Magnedens,7
Corseaux,6
Corserey,5
Corsier (GE),6
Corsier-sur-Vevey,6
Cortaillod,6
Cortébert,0
Cossonay,6
Cottens (FR),5
Cottens (VD),6
Courchapoix,4
Courchavon,5
Courgenay,4
Courgevaux,3
Courlevon,1
Courrendlin,5
Courroux,5
Court,0
Courtedoux,4
Courtelary,0
Courtepin,5
Courtételle,4
Crans-près-Céligny,6
Crassier,6
Cremin,0
Cresciano,4
Cressier (FR),7
Cressier (NE),6
Crissier,6
Croglio,4
Cronay,6
Croy,6
Crémines,0
Crésuz,5
Cuarnens,6
Cuarny,0
Cudrefin,6
Cugnasco-Gerra,4
Cugy (FR),5
Cugy (VD),6
Cunter,5
Cureglia,4
Curio,4
Curtilles,6
Céligny,6
Dachsen,2
Dagmersellen,5
Daillens,6
Dallenwil,0
Dalpe,4
Damphreux,5
Dardagny,6
Davos,2
Degersheim,3
Deisswil bei Münchenbuchsee,4
Deitingen,5
Delley-Portalban,5
Delémont,4
Denens,6
Denges,6
Densbüren,0
Derendingen,7
Develier,4
Diegten,2
Dielsdorf,1
Diemerswil,0
Diemtigen,0
Diepflingen,3
Diepoldsau,1
Dierikon,1
Diessbach bei Büren,0
Diessenhofen,1
Dietikon,3
Dietlikon,3
Dietwil,1
Dinhard,0
Dintikon,0
Disentis/Mustér,5
Dittingen,5
Dizy,6
Domat/Ems,5
Domdidier,5
Domleschg,5
Dompierre (FR),5
Dompierre (VD),2
Donat,4
Donneloye,2
Doppleschwand,5
Dorf,0
Dornach,6
Dorénaz,6
Dottikon,1
Dotzigen,0
Dozwil,0
Drei Höfe,3
Duggingen,3
Duillier,6
Dulliken,7
Dully,6
Dägerlen,0
Dällikon,0
Däniken,3
Dänikon,0
Därligen,0
Därstetten,0
Dättlikon,1
Démoret,2
Dörflingen,0
Döttingen,1
Dübendorf,1
Düdingen,5
Dürnten,1
Dürrenroth,0
Dürrenäsch,0
Ebersecken,5
Ebikon,7
Ebnat-Kappel,1
Echallens,6
Echandens,6
Echarlens,7
Echichens,6
Eclépens,6
Ecublens (FR),5
Ecublens (VD),6
Ederswiler,0
Effingen,1
Egerkingen,5
Egg,3
Eggenwil,1
Eggerberg,5
Eggersriet,1
Eggiwil,0
Eglisau,2
Egliswil,0
Egnach,1
Egolzwil,5
Ehrendingen,1
Eich,5
Eichberg,1
Eiken,1
Einsiedeln,5
Eischoll,5
Eisten,5
Elfingen,2
Elgg,0
Ellikon an der Thur,0
Elsau,0
Embd,5
Embrach,1
Emmen,3
Emmetten,0
Endingen,3
Engelberg,0
Enges,6
Ennetbaden,6
Ennetbürgen,0
Ennetmoos,0
Entlebuch,5
Epalinges,6
Ependes (FR),5
Ependes (VD),6
Eppenberg-Wöschnau,3
Epsach,0
Eptingen,0
Ergisch,5
Eriswil,0
Eriz,0
Erlach,2
Erlen,1
Erlenbach (ZH),6
Erlenbach im Simmental,0
Erlinsbach (AG),3
Erlinsbach (SO),3
Ermatingen,3
Ermensee,5
Ernen,5
Erschwil,5
Ersigen,0
Erstfeld,5
Eschenbach (LU),5
Eschenbach (SG),1
Eschenz,1
Eschert,0
Eschlikon,1
Escholzmatt-Marbach,5
Essert-Pittet,2
Essertes,6
Essertines-sur-Rolle,6
Essertines-sur-Yverdon,6
Estavayer-le-Lac,5
Etagnières,6
Etoy,6
Ettingen,3
Ettiswil,5
Etziken,5
Evilard,6
Evionnaz,5
Evolène,5
Eysins,6
Fahrni,0
Fahrwangen,1
Fahy,5
Faido,4
Falera,5
Faoug,6
Farnern,0
Farvagny,5
Fehraltorf,1
Fehren,1
Felben-Wellhausen,1
Feldbrunnen-St. Niklaus,6
Felsberg,0
Ferden,5
Ferenbalm,0
Ferlens (VD),6
Ferpicloz,7
Ferrera,0
Ferreyres,6
Feuerthalen,2
Feusisberg,1
Fey,6
Fideris,0
Fiesch,5
Fieschertal,5
Fiez,6
Filisur,6
Finhaut,5
Finsterhennen,0
Fischbach,5
Fischbach-Göslikon,1
Fischenthal,0
Fischingen,1
Fisibach,1
Fislisbach,3
Flaach,0
Flawil,3
Flerden,5
Flims,7
Flumenthal,3
Flums,1
Flurlingen,3
Fläsch,0
Flüelen,5
Flühli,5
Fontaines-sur-Grandson,0
Fontenais,4
Forel (Lavaux),6
Forel-sur-Lucens,6
Forst-Längenbühl,0
Founex,6
Frasco,4
Fraubrunnen,0
Frauenfeld,3
Frauenkappelen,0
Freienbach,1
Freienstein-Teufen,0
Freienwil,3
Freimettigen,0
Frenkendorf,6
Fresens,2
Fribourg,5
Frick,1
Froideville,6
Frutigen,0
Fräschels,1
Fulenbach,5
Full-Reuenthal,1
Fully,5
Furna,0
Fällanden,3
Féchy,6
Fétigny,5
Füllinsdorf,7
Fürstenau,2
Gachnang,1
Gais,6
Gaiserwald,1
Galgenen,1
Galmiz,1
Gals,0
Gambarogno,4
Gampel-Bratsch,5
Gampelen,0
Gams,5
Gansingen,5
Gebenstorf,3
Gelterfingen,0
Gelterkinden,6
Geltwil,7
Gempen,3
Gempenach,0
Genolier,6
Genthod,6
Genève,6
Gerlafingen,7
Geroldswil,1
Gersau,5
Gerzensee,0
Gettnau,5
Geuensee,5
Giebenach,0
Giez,6
Giffers,5
Gilly,3
Gimel,6
Gingins,6
Giornico,4
Gipf-Oberfrick,3
Gisikon,1
Giswil,0
Giubiasco,4
Givisiez,5
Givrins,6
Gland,6
Glarus,4
Glarus Nord,4
Glarus Süd,4
Glattfelden,0
Gletterens,5
Gnosca,4
Golaten,0
Goldach,1
Gollion,3
Gommiswald,1
Gondiswil,0
Gonten,5
Gontenschwil,0
Gordola,4
Gorduno,4
Gorgier,6
Gossau (SG),1
Gossau (ZH),1
Gottlieben,7
Goumoëns,6
Graben,0
Grabs,3
Grafschaft,5
Grancia,4
Grancy,6
Grandcour,6
Grandevent,2
Grandfontaine,5
Grandson,6
Grandval,0
Grandvillard,5
Granges (Veveyse),5
Granges-Paccot,5
Grangettes,5
Gravesano,4
Greifensee,3
Grellingen,7
Grenchen,3
Greng,1
Grengiols,5
Grens,6
Greppen,5
Gresso,4
Gretzenbach,3
Grimisuat,5
Grindel,1
Grindelwald,0
Grolley,5
Grono,5
Grossaffoltern,0
Grossdietwil,5
Grosshöchstetten,0
Grosswangen,5
Grub (AR),2
Gruyères,5
Gryon,6
Grächen,5
Gränichen,1
Grône,5
Grüningen,0
Grüsch,0
Gsteig,0
Gsteigwiler,0
Gudo,4
Guggisberg,0
Gunzgen,5
Gurbrü,0
Gurmels,5
Gurtnellen,5
Gurzelen,0
Guttannen,0
Guttet-Feschel,5
Gy,6
Gächlingen,0
Gänsbrunnen,5
Göschenen,5
Gündlischwand,0
Günsberg,3
Güttingen,1
Habkern,0
Habsburg,3
Hagenbuch,0
Hagneck,0
Haldenstein,4
Hallau,0
Hallwil,0
Halten,7
Hasle (LU),5
Hasle bei Burgdorf,0
Hasliberg,0
Hauenstein-Ifenthal,5
Hauptwil-Gottshaus,1
Hausen (AG),1
Hausen am Albis,2
Haut-Intyamon,5
Haut-Vully,6
Haute-Ajoie,5
Haute-Sorne,4
Hauterive (FR),5
Hauterive (NE),6
Hauteville,5
Hedingen,3
Hefenhofen,1
Heiden,6
Heiligenschwendi,0
Heimberg,0
Heimenhausen,0
Heimiswil,0
Heitenried,5
Hellikon,0
Hellsau,4
Hemberg,1
Hemishofen,0
Hemmiken,0
Hendschiken,0
Henggart,0
Henniez,6
Herbetswil,5
Herbligen,0
Herdern,1
Hergiswil (NW),0
Hergiswil bei Willisau,5
Herisau,2
Hermance,6
Hermenches,2
Hermiswil,0
Hermrigen,0
Herrliberg,6
Hersberg,0
Herznach,0
Herzogenbuchsee,0
Hettlingen,3
Hildisrieden,5
Hilterfingen,2
Himmelried,3
Hindelbank,0
Hinterrhein,4
Hinwil,0
Hirschthal,1
Hirzel,3
Hittnau,0
Hitzkirch,5
Hochdorf,5
Hochfelden,0
Hochwald,7
Hofstetten (ZH),0
Hofstetten bei Brienz,0
Hofstetten-Flüh,7
Hohenrain,5
Hohentannen,0
Holderbank (AG),0
Holderbank (SO),5
Holziken,0
Homberg,0
Hombrechtikon,1
Homburg,0
Honau,1
Horgen,3
Horn,1
Hornussen,1
Horrenbach-Buchen,0
Horriwil,7
Horw,7
Hospental,5
Hubersdorf,7
Humlikon,0
Hundwil,0
Hunzenschwil,0
Huttwil,0
Häfelfingen,2
Hägendorf,3
Häggenschwil,5
Hägglingen,1
Härkingen,1
Häutligen,0
Hérémence,5
Höchstetten,0
Hölstein,2
Höri,0
Hünenberg,5
Hüniken,5
Hüntwangen,0
Hütten,0
Hüttikon,0
Hüttlingen,0
Hüttwilen,1
Icogne,7
Iffwil,0
Ilanz/Glion,5
Illgau,1
Illnau-Effretikon,3
Inden,5
Ingenbohl,5
Inkwil,0
Innerthal,5
Innertkirchen,0
Ins,0
Interlaken,0
Inwil,5
Ipsach,2
Iragna,4
Iseltwald,0
Isenthal,5
Islisberg,1
Isone,4
Isorno,4
Isérables,4
Itingen,2
Ittigen,2
Jaberg,4
Jaun,1
Jegenstorf,0
Jenaz,0
Jenins,0
Jens,0
Jeuss,7
Jonen,1
Jongny,6
Jonschwil,1
Jorat-Menthue,6
Jouxtens-Mézery,6
Juriens,6
Jussy,6
Kaiseraugst,3
Kaiserstuhl,3
Kaisten,1
Kallern,0
Kallnach,0
Kaltbrunn,1
Kammersrohr,4
Kandergrund,0
Kandersteg,0
Kappel (SO),7
Kappel am Albis,0
Kappelen,0
Kaufdorf,0
Kehrsatz,2
Kemmental,1
Kernenried,0
Kerns,0
Kerzers,3
Kesswil,1
Kestenholz,5
Kienberg,5
Kiesen,0
Kilchberg (BL),2
Kilchberg (ZH),6
Killwangen,1
Kippel,5
Kirchberg (BE),0
Kirchberg (SG),1
Kirchdorf (BE),0
Kirchenthurnen,0
Kirchleerau,0
Kirchlindach,2
Kleinandelfingen,0
Kleinbösingen,5
Kleinlützel,7
Klingnau,3
Klosters-Serneus,0
Kloten,1
Knonau,2
Knutwil,5
Koblenz,1
Konolfingen,0
Koppigen,0
Kradolf-Schönenberg,1
Krattigen,0
Krauchthal,0
Kreuzlingen,7
Kriechenwil,0
Kriegstetten,3
Kriens,7
Kyburg,0
Känerkinden,2
Kölliken,1
Köniz,2
Küblis,0
Künten,1
Küsnacht (ZH),6
Küssnacht (SZ),7
Küttigen,3
L'Abbaye,6
L'Abergement,2
L'Isle,6
La Baroche,5
La Brillaz,5
La Brévine,2
La Chaux (Cossonay),6
La Chaux-de-Fonds,6
La Chaux-des-Breuleux,5
La Chaux-du-Milieu,6
La Côte-aux-Fées,3
La Ferrière,0
La Folliaz,5
La Neuveville,6
La Praz,2
La Punt-Chamues-ch,0
La Rippe,6
La Roche,5
La Sagne,6
La Sarraz,6
La Sonnaz,5
La Tour-de-Peilz,6
La Tène,6
La Verrerie,5
Laax,5
Lachen,7
Laconnex,5
Lajoux (JU),4
Lalden,5
Lamone,4
Lampenberg,3
Lancy,6
Landiswil,0
Landquart,0
Langenbruck,2
Langendorf,7
Langenthal,2
Langnau am Albis,3
Langnau im Emmental,0
Langrickenbach,0
Lantsch/Lenz,5
Lauenen,0
Lauerz,5
Laufen,5
Laufen-Uhwiesen,1
Laufenburg,1
Laupen,2
Laupersdorf,5
Lauperswil,0
Lausanne,6
Lausen,2
Lauterbrunnen,0
Lauwil,2
Lavertezzo,4
Lavey-Morcles,3
Lavigny,6
Lavizzara,4
Lax,5
Le Bémont (JU),5
Le Cerneux-Péquignot,6
Le Chenit,6
Le Châtelard,5
Le Flon,5
Le Glèbe,7
Le Grand-Saconnex,6
Le Landeron,6
Le Lieu,6
Le Locle,6
Le Mont-sur-Lausanne,6
Le Mouret,5
Le Noirmont,4
Le Pâquier (FR),5
Le Vaud,6
Leggia,5
Leibstadt,0
Leimbach (AG),0
Leissigen,0
Lengnau (AG),1
Lengnau (BE),0
Lengwil,1
Lenk,0
Lens,5
Lenzburg,6
Les Agettes,5
Les Bois,4
Les Brenets,6
Les Breuleux,4
Les Clées,6
Les Enfers,5
Les Genevez (JU),5
Les Montets,5
Les Planchettes,6
Les Ponts-de-Martel,6
Les Verrières,6
Leuggern,0
Leuk,5
Leukerbad,5
Leutwil,0
Leuzigen,0
Leysin,6
Leytron,5
Lichtensteig,3
Liddes,5
Liedertswil,0
Liesberg,5
Liestal,6
Ligerz,2
Lignerolle,0
Lignières,6
Lindau,1
Linden,0
Linescio,6
Locarno,4
Lodrino,4
Lohn (GR),6
Lohn (SH),0
Lohn-Ammannsegg,6
Lohnstorf,0
Lommis,0
Lommiswil,7
Lonay,6
Longirod,6
Losone,4
Lostallo,7
Lostorf,7
Lotzwil,0
Lovatens,2
Loveresse,0
Lucens,6
Lufingen,1
Lugano,4
Lugnez,5
Luins,3
Lully (FR),5
Lully (VD),6
Lumino,4
Lumnezia,5
Lungern,0
Lupfig,0
Lupsingen,6
Lurtigen,3
Lussery-Villars,6
Lussy-sur-Morges,6
Luterbach,7
Luthern,5
Lutry,6
Lutzenberg,2
Luzein,0
Luzern,7
Lyss,0
Lyssach,0
Läufelfingen,2
Léchelles,5
Löhningen,0
Lüscherz,0
Lüsslingen-Nennigkofen,6
Lüterkofen-Ichertswil,6
Lüterswil-Gächliwil,6
Lütisburg,5
Lütschental,0
Lützelflüh,0
Madiswil,0
Madulain,2
Magden,3
Maggia,4
Magliaso,4
Maienfeld,0
Maisprach,2
Maladers,0
Malans,2
Malters,5
Mammern,1
Mandach,0
Manno,4
Maracon,6
Marbach (SG),1
Marchissy,6
Marly,5
Marmorera,5
Maroggia,4
Marsens,5
Marthalen,0
Martigny,6
Martigny-Combe,4
Maschwanden,0
Masein,6
Massagno,4
Massongex,5
Massonnens,7
Mathod,2
Mathon,4
Matran,5
Matten bei Interlaken,0
Mattstetten,0
Matzendorf,5
Matzingen,1
Mauborget,1
Mauensee,5
Maur,3
Mauraz,2
Medel (Lucmagn),5
Meggen,7
Meienried,4
Meierskappel,1
Meikirch,2
Meilen,6
Meinier,6
Meinisberg,0
Meiringen,0
Meisterschwanden,3
Melano,4
Melchnau,0
Melide,4
Mellikon,3
Mellingen,1
Mels,5
Meltingen,5
Mendrisio,4
Menziken,1
Menzingen,5
Menznau,5
Merenschwand,1
Mergoscia,4
Merishausen,0
Mervelier,5
Merzligen,0
Mesocco,5
Messen,6
Mettauertal,1
Mettembert,5
Mettmenstetten,3
Metzerlen-Mariastein,5
Mex (VD),6
Meyriez,3
Meyrin,6
Mezzovico-Vira,4
Mies,6
Miglieglia,4
Milvignes,6
Minusio,4
Mirchel,0
Misery-Courtion,5
Missy,6
Miège,4
Moiry,6
Moleno,4
Mollens (VD),2
Mollens (VS),5
Molondin,6
Mont-Noble,5
Mont-Tramelan,0
Mont-la-Ville,6
Mont-sur-Rolle,6
Montagny (FR),5
Montagny-près-Yverdon,6
Montalchez,6
Montana,5
Montanaire,6
Montcherand,2
Monte Carasso,4
Monteceneri,4
Monteggio,4
Montet (Glâne),7
Montfaucon,5
Montherod,6
Monthey,5
Montilliez,6
Montpreveyres,6
Montreux,6
Montricher,6
Moosleerau,0
Moosseedorf,0
Morbio Inferiore,4
Morcote,4
Morens (FR),7
Morges,6
Morlon,5
Morrens (VD),6
Morschach,1
Mosnang,5
Mosogno,4
Moudon,6
Moutier,7
Movelier,5
Muhen,0
Mulegns,5
Mumpf,1
Mundaun,5
Muntelier,7
Muolen,5
Muotathal,1
Muralto,4
Murgenthal,0
Muri (AG),1
Muri bei Bern,6
Muriaux,6
Murist,7
Murten,7
Mutrux,2
Mutten,0
Muttenz,7
Muzzano,4
Mägenwil,1
Männedorf,3
Märstetten,1
Ménières,5
Mézières (FR),5
Mézières (VD),6
Möhlin,1
Mönchaltorf,2
Mönthal,0
Mörel-Filet,5
Mörigen,0
Möriken-Wildegg,1
Mörschwil,5
Mötschwil,0
Mühlau,1
Mühleberg,0
Mühledorf (BE),0
Mühlethurnen,0
Müllheim,1
Mülligen,0
Mümliswil-Ramiswil,5
Münchenbuchsee,2
Münchenstein,7
Münchenwiler,0
Münchwilen (AG),1
Münchwilen (TG),1
Münsingen,2
Münster-Geschinen,5
Münsterlingen,3
Müntschemier,0
Naters,5
Nebikon,6
Neckertal,1
Neerach,0
Neftenbach,1
Neggio,4
Nendaz,5
Nenzlingen,1
Nesslau,1
Neuchâtel,6
Neuendorf,5
Neuenegg,0
Neuenhof,1
Neuenkirch,5
Neuhausen am Rheinfall,2
Neuheim,5
Neunforn,0
Neunkirch,2
Neyruz (FR),5
Nidau,2
Niederbipp,0
Niederbuchsiten,5
Niederbüren,1
Niederdorf,3
Niedergesteln,5
Niederglatt,0
Niedergösgen,1
Niederhasli,0
Niederhelfenschwil,1
Niederhünigen,0
Niederlenz,3
Niedermuhlern,4
Niederried bei Interlaken,0
Niederrohrdorf,3
Niederwald,5
Niederweningen,2
Niederwil (AG),1
Niederönz,0
Niederösch,4
Nods,0
Noflen,4
Noréaz,5
Nottwil,5
Novaggio,4
Novalles,2
Novazzano,4
Noville,6
Nufenen,0
Nuglar-St. Pantaleon,3
Nunningen,5
Nusshof,2
Nuvilly,5
Nyon,6
Nürensdorf,1
Oberbalm,0
Oberbipp,0
Oberbuchsiten,5
Oberburg,0
Oberbüren,1
Oberdiessbach,0
Oberdorf (BL),3
Oberdorf (NW),0
Oberdorf (SO),6
Oberegg,5
Oberembrach,0
Oberems,5
Oberengstringen,3
Oberentfelden,1
Obergerlafingen,3
Oberglatt,0
Obergoms,5
Obergösgen,7
Oberhallau,0
Oberhelfenschwil,5
Oberhof,1
Oberhofen am Thunersee,2
Oberhünigen,0
Oberiberg,1
Oberkirch,5
Oberkulm,0
Oberlangenegg,0
Oberlunkhofen,3
Obermumpf,1
Oberried am Brienzersee,0
Oberrieden,3
Oberriet (SG),1
Oberrohrdorf,3
Oberrüti,1
Obersaxen,5
Oberschrot,5
Obersiggenthal,3
Oberstammheim,2
Obersteckholz,0
Oberthal,0
Oberuzwil,3
Oberweningen,0
Oberwil (BL),7
Oberwil bei Büren,0
Oberwil im Simmental,0
Oberwil-Lieli,3
Oberägeri,5
Oberösch,4
Obfelden,3
Ochlenberg,0
Oekingen,7
Oensingen,3
Oeschenbach,0
Oeschgen,1
Oetwil am See,0
Oetwil an der Limmat,3
Oftringen,1
Ogens,2
Ollon,6
Olsberg,3
Olten,6
Oltingen,2
Onex,6
Onnens (VD),6
Onsernone,4
Opfikon,1
Oppens,2
Oppligen,0
Orbe,6
Orges,6
Origlio,4
Ormalingen,2
Ormont-Dessous,6
Ormont-Dessus,6
Orny,6
Oron,6
Orpund,0
Orselina,4
Orsières,5
Orvin,0
Orzens,2
Osogna,4
Ossingen,0
Ostermundigen,2
Otelfingen,1
Othmarsingen,1
Ottenbach,3
Oulens-sous-Echallens,6
Pailly,6
Pampigny,6
Paradiso,4
Paudex,6
Payerne,6
Penthalaz,6
Penthaz,6
Penthéréaz,6
Perly-Certoux,6
Perrefitte,0
Perroy,6
Personico,4
Peseux,6
Petit-Val,0
Pfaffnau,5
Pfeffingen,7
Pfungen,0
Pfyn,0
Pfäfers,1
Pfäffikon,2
Pianezzo,4
Pierrafortscha,7
Pieterlen,0
Plaffeien,5
Plan-les-Ouates,6
Plasselb,1
Plateau de Diesse,2
Pleigne,5
Pohlern,0
Poliez-Pittet,7
Pollegio,4
Pompaples,6
Pomy,2
Pont-en-Ogoz,5
Pont-la-Ville,5
Ponte Capriasca,4
Ponte Tresa,4
Ponthaux,5
Pontresina,2
Porrentruy,4
Port,2
Port-Valais,5
Porza,4
Poschiavo,5
Prangins,6
Prato (Leventina),4
Pratteln,7
Pregny-Chambésy,6
Premier,2
