commune,BDP/PBD,CSP/PCS,CVP/PDC,EVP/PEV,FDP/PLR (PRD),GLP/PVL,PdA/PST,SP/PS,SVP/UDC,EDU/UDF,GPS/PES,Lega,MCR,SD/DS,Sol.,Übrige/Autres
Montana,0.0,1.0,34.32,0.0,21.38,0.0,0.0,12.95,22.36,0.0,7.46,0.0,0.0,0.0,0.0,0.54
Montanaire,3.81,0.0,2.32,1.61,27.85,3.16,0.0,13.92,34.2,0.56,7.17,0.0,0.0,0.02,1.64,3.75
Montcherand,1.54,0.0,2.08,0.54,29.25,1.85,0.0,7.17,45.13,0.92,8.4,0.0,0.0,0.73,0.5,1.89
Monte Carasso,0.0,0.0,32.46,0.0,27.07,0.41,0.86,13.73,5.62,0.0,2.81,14.68,0.0,0.0,0.0,2.36
Monteceneri,0.0,0.0,21.0,0.0,28.18,0.56,0.16,11.33,10.21,0.0,2.47,24.02,0.0,0.0,0.0,2.07
Monteggio,0.0,0.0,15.15,0.0,18.12,0.86,0.53,11.84,24.44,0.0,3.35,24.32,0.0,0.0,0.0,1.39
Montet (Glâne),3.37,4.44,12.1,0.0,12.71,6.43,0.0,23.89,33.84,0.0,3.22,0.0,0.0,0.0,0.0,0.0
Montfaucon,0.0,5.44,24.49,0.0,16.33,0.0,3.4,19.73,19.5,0.0,8.84,0.0,0.0,0.0,0.0,2.27
Montherod,1.8,0.0,5.02,0.95,26.81,4.28,0.0,11.0,27.66,0.42,17.35,0.0,0.0,0.0,1.64,3.07
Monthey,0.0,2.79,24.23,0.0,30.74,0.0,0.0,15.0,22.18,0.0,4.61,0.0,0.0,0.0,0.0,0.44
Montilliez,2.81,0.0,4.59,1.14,25.85,3.41,0.0,17.85,31.87,0.07,7.98,0.0,0.0,0.04,1.7,2.69
Montpreveyres,2.41,0.0,3.43,5.19,15.21,0.82,0.0,28.99,21.22,2.25,13.33,0.0,0.0,0.04,3.15,3.97
Montreux,1.16,0.0,3.82,0.65,34.89,3.02,0.0,20.49,21.6,0.51,9.71,0.0,0.0,0.06,1.86,2.21
Montricher,0.95,0.0,1.15,0.26,26.5,2.67,0.0,19.74,32.45,0.5,10.28,0.0,0.0,0.03,1.84,3.63
Moosleerau,3.73,0.0,2.27,3.7,10.39,2.89,0.0,10.85,60.07,2.47,2.49,0.0,0.0,0.0,0.0,1.15
Moosseedorf,14.44,0.0,2.53,3.55,9.18,5.9,0.2,22.37,35.47,1.33,4.05,0.0,0.0,0.12,0.0,0.87
Morbio Inferiore,0.0,0.0,21.58,0.0,16.38,1.04,0.33,14.52,11.87,0.0,3.97,28.51,0.0,0.0,0.0,1.79
Morcote,0.0,0.0,6.89,0.0,49.33,0.54,0.43,10.77,13.19,0.0,2.37,14.16,0.0,0.0,0.0,2.32
Morens (FR),0.73,0.0,17.8,0.0,21.95,1.46,0.0,14.63,37.56,0.0,5.85,0.0,0.0,0.0,0.0,0.0
Morges,1.67,0.0,3.47,0.88,27.47,4.43,0.0,27.93,18.04,0.75,10.37,0.0,0.0,0.24,2.42,2.33
Morlon,0.47,1.47,25.69,0.27,27.36,2.68,0.0,16.19,20.6,1.54,3.75,0.0,0.0,0.0,0.0,0.0
Morrens (VD),1.6,0.0,3.85,0.16,23.04,3.87,0.0,21.91,27.79,0.88,11.91,0.0,0.0,0.07,1.74,3.17
Morschach,0.0,0.0,20.13,0.0,13.71,3.24,0.0,13.71,46.73,0.0,2.48,0.0,0.0,0.0,0.0,0.0
Mosnang,1.46,0.0,29.58,1.29,10.06,2.06,0.0,4.93,43.9,1.04,3.69,0.0,0.0,0.19,0.0,1.79
Mosogno,0.0,0.0,16.11,0.0,6.11,0.56,2.78,30.0,11.67,0.0,4.44,21.67,0.0,0.0,0.0,6.67
Moudon,1.62,0.0,1.56,1.24,27.77,1.84,0.0,22.5,25.32,0.73,11.19,0.0,0.0,0.16,2.33,3.74
Moutier,3.27,0.0,9.78,2.89,8.16,1.46,4.56,29.57,31.44,2.01,5.27,0.0,0.0,0.68,0.0,0.91
Movelier,0.0,3.02,28.52,0.0,7.05,0.0,1.68,10.74,37.25,0.0,10.74,0.0,0.0,0.0,0.0,1.01
Muhen,5.57,0.0,4.18,3.98,14.59,4.24,0.0,13.49,48.24,1.95,2.63,0.0,0.0,0.0,0.0,1.14
Mulegns,20.0,0.0,43.64,0.0,18.18,9.09,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumpf,7.32,0.0,8.09,0.86,11.74,5.32,0.0,14.11,46.25,0.41,3.34,0.0,0.0,0.0,0.0,2.57
Mundaun,15.13,0.0,41.87,0.0,5.66,3.82,0.0,7.92,25.18,0.0,0.0,0.0,0.0,0.0,0.0,0.42
Muntelier,2.16,0.85,9.76,1.6,20.36,10.39,0.0,26.32,21.5,0.07,6.99,0.0,0.0,0.0,0.0,0.0
Muolen,2.86,0.0,33.06,1.06,12.04,2.69,0.0,6.24,35.98,1.68,2.49,0.0,0.0,0.06,0.0,1.84
Muotathal,0.0,0.0,20.92,0.0,12.95,1.29,0.0,5.31,58.95,0.0,0.58,0.0,0.0,0.0,0.0,0.0
Muralto,0.0,0.0,26.81,0.0,23.77,0.81,1.83,12.16,13.88,0.0,2.56,15.37,0.0,0.0,0.0,2.81
Murgenthal,6.92,0.0,2.42,4.94,12.44,4.58,0.0,12.53,48.38,1.61,3.73,0.0,0.0,0.0,0.0,2.45
Muri (AG),3.69,0.0,15.45,1.86,12.98,4.59,0.0,15.63,37.85,0.55,5.65,0.0,0.0,0.0,0.0,1.76
Muri bei Bern,11.42,0.0,2.62,2.35,23.93,7.28,0.27,18.87,21.98,1.3,8.2,0.0,0.0,0.27,0.0,1.5
Muriaux,0.0,2.06,20.37,0.0,40.33,0.0,4.32,8.64,14.61,0.0,8.64,0.0,0.0,0.0,0.0,1.03
Murist,3.93,1.59,19.14,0.61,20.2,1.36,0.0,22.92,19.67,2.19,8.4,0.0,0.0,0.0,0.0,0.0
Murten,1.99,0.97,8.8,1.76,21.03,6.17,0.0,25.8,28.4,1.19,3.88,0.0,0.0,0.0,0.0,0.0
Mutrux,1.55,0.0,1.22,0.89,17.54,8.77,0.0,19.98,35.96,0.22,10.21,0.0,0.0,0.0,0.44,3.22
Mutten,23.38,0.0,12.34,0.0,8.44,3.25,0.0,12.34,40.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muttenz,2.53,0.0,7.07,3.84,14.43,2.37,0.0,27.24,28.88,0.56,12.23,0.0,0.0,0.0,0.0,0.86
Muzzano,0.0,0.0,13.85,0.0,18.15,1.3,0.46,19.07,14.35,0.0,3.84,27.01,0.0,0.0,0.0,1.96
Mägenwil,5.09,0.0,11.94,2.46,18.51,4.04,0.0,8.73,44.68,0.95,2.68,0.0,0.0,0.0,0.0,0.92
Männedorf,3.08,0.0,5.6,3.61,18.74,8.51,0.13,19.65,28.39,3.07,6.55,0.0,0.0,0.1,0.0,2.56
Märstetten,4.5,0.0,13.77,2.28,13.55,7.04,0.0,11.77,39.46,2.53,5.0,0.0,0.0,0.0,0.0,0.1
Ménières,3.43,0.14,20.19,0.0,18.96,0.27,0.0,16.21,39.15,0.0,1.65,0.0,0.0,0.0,0.0,0.0
Mézières (FR),0.98,2.39,25.62,0.09,19.0,1.54,0.0,17.68,27.37,1.32,4.01,0.0,0.0,0.0,0.0,0.0
Mézières (VD),1.66,0.0,3.13,0.96,27.85,3.25,0.0,24.03,21.06,0.86,10.38,0.0,0.0,0.05,2.09,4.67
Möhlin,5.62,0.0,7.74,2.38,12.07,5.23,0.0,17.32,39.92,1.3,6.01,0.0,0.0,0.0,0.0,2.41
Mönchaltorf,9.12,0.0,2.39,2.71,13.62,7.05,0.1,20.99,33.08,4.03,4.66,0.0,0.0,0.02,0.0,2.22
Mönthal,4.02,0.0,5.89,1.5,12.02,2.53,0.0,7.39,51.08,4.4,6.78,0.0,0.0,0.0,0.0,4.4
Mörel-Filet,0.0,0.15,52.13,0.0,4.78,0.0,0.0,10.41,28.28,0.0,4.25,0.0,0.0,0.0,0.0,0.0
Mörigen,13.74,0.0,1.37,1.12,20.13,5.7,0.27,7.45,43.26,0.56,3.48,0.0,0.0,0.88,0.0,2.03
Möriken-Wildegg,5.71,0.0,4.72,4.64,17.83,5.39,0.0,14.77,40.18,1.01,4.09,0.0,0.0,0.0,0.0,1.66
Mörschwil,2.18,0.0,23.4,1.32,20.74,4.61,0.0,9.16,31.05,0.28,5.02,0.0,0.0,0.24,0.0,2.01
Mötschwil,14.29,0.0,1.05,3.3,3.08,6.1,0.03,11.69,47.19,4.16,7.62,0.0,0.0,0.29,0.0,1.21
Mühlau,5.99,0.0,16.13,1.23,7.83,4.61,0.0,7.9,50.79,0.59,3.52,0.0,0.0,0.0,0.0,1.42
Mühleberg,14.14,0.0,1.23,5.25,10.22,3.28,0.39,14.11,43.38,1.13,4.47,0.0,0.0,0.56,0.0,1.85
Mühledorf (BE),19.03,0.0,0.22,3.6,7.68,4.11,0.0,9.86,44.85,4.77,3.82,0.0,0.0,0.36,0.0,1.71
Mühlethurnen,13.72,0.0,1.32,3.63,8.01,7.41,0.16,18.01,31.3,2.14,12.57,0.0,0.0,0.24,0.0,1.51
Müllheim,3.6,0.0,15.01,1.37,12.04,4.97,0.0,10.44,46.16,1.87,4.42,0.0,0.0,0.0,0.0,0.11
Mülligen,5.07,0.0,2.77,3.31,12.23,3.82,0.0,19.74,43.23,1.85,6.8,0.0,0.0,0.0,0.0,1.18
Mümliswil-Ramiswil,2.08,0.0,33.69,0.06,12.81,1.11,0.0,6.28,41.07,0.51,1.42,0.0,0.0,0.0,0.0,0.96
Münchenbuchsee,11.53,0.0,2.61,6.4,9.07,6.33,0.43,21.73,29.35,2.28,8.02,0.0,0.0,0.44,0.0,1.79
Münchenstein,2.8,0.0,8.29,2.55,13.71,3.82,0.0,30.15,24.57,0.39,12.95,0.0,0.0,0.0,0.0,0.77
Münchenwiler,13.63,0.0,1.91,2.71,7.54,3.69,0.06,12.57,46.86,4.71,5.09,0.0,0.0,0.71,0.0,0.51
Münchwilen (AG),4.55,0.0,6.8,1.03,17.16,2.85,0.0,14.22,45.79,1.05,4.33,0.0,0.0,0.0,0.0,2.23
Münchwilen (TG),3.31,0.0,14.4,1.61,13.76,5.82,0.0,9.41,43.74,2.18,5.69,0.0,0.0,0.0,0.0,0.08
Münsingen,12.91,0.0,1.98,6.08,9.87,7.52,0.24,18.78,25.68,3.57,11.57,0.0,0.0,0.35,0.0,1.46
Münster-Geschinen,0.0,0.06,51.51,0.0,4.4,0.0,0.0,7.8,31.45,0.0,4.78,0.0,0.0,0.0,0.0,0.0
Münsterlingen,3.05,0.0,10.56,1.29,17.01,7.89,0.0,14.05,35.19,2.43,8.37,0.0,0.0,0.0,0.0,0.15
Müntschemier,15.38,0.0,0.98,8.16,6.79,4.04,0.31,5.9,50.71,2.39,3.4,0.0,0.0,0.56,0.0,1.4
Naters,0.0,0.1,44.7,0.0,2.0,0.0,0.0,10.31,40.45,0.0,2.41,0.0,0.0,0.0,0.0,0.03
Nebikon,0.6,0.0,22.37,0.13,41.03,3.46,0.0,4.74,25.21,0.0,2.17,0.0,0.0,0.03,0.0,0.25
Neckertal,2.87,0.0,13.77,2.69,15.02,3.86,0.0,10.12,41.27,2.9,4.46,0.0,0.0,0.43,0.0,2.61
Neerach,4.43,0.0,3.15,2.07,15.9,5.68,0.02,9.56,51.31,3.6,2.71,0.0,0.0,0.1,0.0,1.45
Neftenbach,4.98,0.0,2.61,4.46,14.09,9.7,0.01,15.31,38.27,3.39,4.26,0.0,0.0,0.11,0.0,2.81
Neggio,0.0,0.0,37.56,0.0,12.37,1.41,0.44,14.96,10.52,0.0,4.37,16.81,0.0,0.0,0.0,1.56
