commune,BDP/PBD,CSP/PCS,CVP/PDC,EVP/PEV,FDP/PLR (PRD),GLP/PVL,PdA/PST,SP/PS,SVP/UDC,EDU/UDF,GPS/PES,Lega,MCR,SD/DS,Sol.,Übrige/Autres
Aadorf,3.39,0.0,20.07,2.07,10.09,5.81,0.0,10.42,40.3,2.51,5.19,0.0,0.0,0.0,0.0,0.16
Aarau,3.63,0.0,5.32,3.78,18.09,7.9,0.0,26.52,22.66,0.74,8.85,0.0,0.0,0.0,0.0,2.51
Aarberg,15.9,0.0,1.08,4.34,10.3,5.96,0.15,16.84,36.36,2.29,5.07,0.0,0.0,0.43,0.0,1.28
Aarburg,4.59,0.0,4.71,3.65,14.1,4.33,0.0,21.73,38.21,2.89,4.01,0.0,0.0,0.0,0.0,1.76
Aarwangen,13.74,0.0,1.44,2.47,12.31,4.18,0.12,17.61,38.13,2.73,4.77,0.0,0.0,0.37,0.0,2.13
Abtwil,4.48,0.0,14.6,0.91,12.11,6.75,0.0,6.5,48.56,0.57,3.28,0.0,0.0,0.0,0.0,2.24
Aclens,4.41,0.0,1.86,0.39,27.0,2.98,0.0,19.88,25.26,1.01,11.91,0.0,0.0,0.0,2.36,2.94
Acquarossa,0.0,0.0,30.58,0.0,21.03,0.53,0.14,15.87,7.42,0.0,2.44,19.19,0.0,0.0,0.0,2.81
Adelboden,6.25,0.0,0.45,6.74,5.33,3.52,0.04,4.73,46.03,23.6,1.74,0.0,0.0,0.34,0.0,1.23
Adligenswil,1.04,0.0,14.5,0.68,18.72,7.26,0.0,20.72,27.69,0.0,8.77,0.0,0.0,0.02,0.0,0.61
Adlikon,6.63,0.0,0.86,4.73,7.39,3.92,0.03,8.32,56.82,5.59,3.83,0.0,0.0,0.39,0.0,1.5
Adliswil,3.75,0.0,7.62,3.23,15.36,6.18,0.15,20.85,33.37,1.02,5.27,0.0,0.0,0.23,0.0,2.98
Aedermannsdorf,2.94,0.0,45.89,0.49,13.79,1.72,0.0,6.62,26.53,0.12,1.16,0.0,0.0,0.0,0.0,0.74
Aefligen,14.05,0.0,1.04,4.19,4.05,5.62,0.28,14.13,47.9,2.24,4.24,0.0,0.0,0.95,0.0,1.32
Aegerten,14.59,0.0,1.63,3.26,8.21,4.14,0.17,22.98,38.89,1.9,2.34,0.0,0.0,0.58,0.0,1.33
Aesch (BL),3.47,0.0,17.15,0.99,15.07,2.09,0.0,21.22,28.68,0.33,10.59,0.0,0.0,0.0,0.0,0.4
Aesch (LU),2.65,0.0,27.21,1.7,17.98,3.66,0.0,3.47,39.31,0.0,3.12,0.0,0.0,0.0,0.0,0.9
Aesch (ZH),5.79,0.0,6.11,1.51,19.89,8.08,0.03,12.55,39.13,1.61,3.12,0.0,0.0,0.29,0.0,1.9
Aeschi (SO),5.0,0.0,16.31,0.41,20.74,5.27,0.0,18.0,28.34,0.57,4.66,0.0,0.0,0.0,0.0,0.71
Aeschi bei Spiez,11.38,0.0,0.83,8.13,6.79,3.97,0.04,8.22,48.39,3.58,6.44,0.0,0.0,0.37,0.0,1.86
Aeugst am Albis,2.62,0.0,2.08,3.47,18.69,8.44,0.17,18.65,30.93,4.58,7.08,0.0,0.0,0.31,0.0,3.01
Affeltrangen,5.41,0.0,10.43,2.05,8.31,4.92,0.0,6.76,53.72,4.15,4.15,0.0,0.0,0.0,0.0,0.1
Affoltern am Albis,4.16,0.0,4.59,5.46,14.23,7.36,0.19,19.08,33.79,1.58,6.21,0.0,0.0,0.19,0.0,3.17
Affoltern im Emmental,11.75,0.0,1.11,7.36,5.13,2.23,0.17,9.24,52.72,5.25,2.77,0.0,0.0,0.46,0.0,1.8
Agarn,0.0,0.06,73.55,0.0,1.3,0.0,0.0,7.44,17.12,0.0,0.53,0.0,0.0,0.0,0.0,0.0
Agiez,3.33,0.0,4.78,0.54,23.23,2.0,0.0,17.24,32.37,0.06,13.07,0.0,0.0,0.0,1.09,2.3
Agno,0.0,0.0,18.75,0.0,18.54,0.64,0.33,12.82,13.53,0.0,4.01,30.09,0.0,0.0,0.0,1.28
Aigle,1.18,0.0,3.09,1.38,34.99,2.44,0.0,18.23,21.23,1.93,9.68,0.0,0.0,0.1,2.73,3.01
Aire-la-Ville,0.82,0.0,16.47,0.0,18.51,2.88,0.0,17.1,23.59,0.05,10.22,0.0,8.43,0.0,1.9,0.03
Airolo,0.0,0.0,35.68,0.0,27.54,0.28,0.02,5.86,8.75,0.0,1.65,18.67,0.0,0.0,0.0,1.56
Alberswil,0.88,0.0,32.34,0.04,26.77,1.36,0.0,3.29,33.87,0.0,0.7,0.0,0.0,0.0,0.0,0.74
Albinen,0.0,0.0,68.89,0.0,1.89,0.0,0.0,7.82,17.04,0.0,4.28,0.0,0.0,0.0,0.0,0.08
Albula/Alvra,11.0,0.0,38.68,0.0,7.85,5.69,0.0,12.08,24.59,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Alchenstorf,21.03,0.0,0.95,4.08,2.5,3.82,0.15,11.01,48.24,1.32,3.92,0.0,0.0,0.88,0.0,2.1
Allaman,1.03,0.0,4.21,0.98,35.03,4.56,0.0,19.7,19.65,0.05,10.78,0.0,0.0,0.2,0.34,3.48
Alle,0.0,3.87,48.34,0.0,18.61,0.0,1.72,14.56,8.11,0.0,4.18,0.0,0.0,0.0,0.0,0.61
Allmendingen,15.8,0.0,2.48,2.1,14.48,3.68,0.06,9.67,39.79,1.71,8.09,0.0,0.0,0.78,0.0,1.37
Allschwil,2.61,0.0,11.03,1.96,14.39,4.12,0.0,25.93,27.25,0.34,10.7,0.0,0.0,0.0,0.0,1.67
Alpnach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.24,0.0,0.0,0.0,0.0,0.0,0.0,62.76
Alpthal,0.0,0.0,12.92,0.0,10.18,0.68,0.0,3.23,72.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0
Altbüron,3.07,0.0,26.93,0.26,27.87,4.69,0.0,3.07,31.29,0.0,2.62,0.0,0.0,0.0,0.0,0.2
Altdorf (UR),0.0,0.0,20.47,0.0,0.0,0.0,0.0,0.0,36.31,0.0,40.09,0.0,0.0,0.0,0.0,3.13
Altendorf,0.0,0.0,17.19,0.0,18.92,2.76,0.0,11.28,48.29,0.0,1.56,0.0,0.0,0.0,0.0,0.0
Alterswil,0.53,2.48,27.27,0.42,8.62,3.33,0.0,19.98,33.59,0.15,3.64,0.0,0.0,0.0,0.0,0.0
Altikon,13.42,0.0,2.94,1.68,5.37,2.89,0.16,11.91,52.85,2.29,4.46,0.0,0.0,0.02,0.0,2.02
Altishofen,1.04,0.0,52.5,0.19,14.05,2.77,0.0,5.78,17.88,0.0,5.44,0.0,0.0,0.04,0.0,0.3
Altnau,3.3,0.0,9.14,1.11,15.48,10.08,0.0,13.4,36.67,2.19,8.63,0.0,0.0,0.0,0.0,0.0
Alto Malcantone,0.0,0.0,20.99,0.0,18.14,0.76,0.49,20.79,10.32,0.0,6.08,19.07,0.0,0.0,0.0,3.36
Altstätten,2.36,0.0,22.76,1.46,9.73,6.54,0.0,9.31,40.64,0.68,4.45,0.0,0.0,0.27,0.0,1.8
Altwis,1.74,0.0,29.75,0.77,11.98,5.02,0.0,9.79,32.39,0.0,8.05,0.0,0.0,0.13,0.0,0.39
Amden,5.53,0.0,19.52,1.44,7.91,4.01,0.0,5.89,46.5,1.15,4.61,0.0,0.0,0.88,0.0,2.58
Amlikon-Bissegg,6.72,0.0,9.85,1.89,7.04,2.94,0.0,6.43,52.29,8.83,3.58,0.0,0.0,0.0,0.0,0.45
Ammerswil,3.26,0.0,3.6,1.16,12.16,5.7,0.0,20.35,45.06,0.07,6.34,0.0,0.0,0.0,0.0,2.32
Amriswil,4.0,0.0,10.86,2.36,16.64,4.13,0.0,11.57,39.97,5.32,4.93,0.0,0.0,0.0,0.0,0.22
Amsoldingen,10.99,0.0,1.19,4.41,5.3,5.84,0.34,13.48,47.4,2.3,6.68,0.0,0.0,1.06,0.0,1.02
Andeer,26.3,0.0,7.01,0.0,18.21,7.08,0.0,14.7,25.96,0.0,0.0,0.0,0.0,0.0,0.0,0.74
Andelfingen,5.39,0.0,2.33,7.65,16.43,10.4,0.03,11.77,34.09,2.53,6.72,0.0,0.0,0.29,0.0,2.38
Andermatt,0.0,0.0,68.13,0.0,0.0,0.0,0.0,0.0,21.83,0.0,9.51,0.0,0.0,0.0,0.0,0.53
Andiast,10.59,0.0,49.35,0.0,7.24,4.13,0.0,4.91,23.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andwil (SG),3.97,0.0,24.14,1.46,14.82,8.47,0.0,8.09,34.24,0.88,2.59,0.0,0.0,0.13,0.0,1.21
Anières,2.64,0.0,12.58,0.18,39.51,1.79,0.0,10.91,18.17,0.17,7.67,0.0,2.99,0.0,3.22,0.17
Anniviers,0.0,2.34,39.46,0.0,14.65,0.0,0.0,22.68,15.95,0.0,4.56,0.0,0.0,0.0,0.0,0.36
Anwil,3.71,0.0,3.07,4.42,6.99,3.78,0.0,13.2,36.66,1.28,25.82,0.0,0.0,0.0,0.0,1.07
Appenzell,0.0,0.0,71.79,0.0,0.0,0.0,0.0,21.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.24
Apples,1.78,0.0,3.71,0.88,29.39,11.95,0.0,21.47,17.34,0.58,10.36,0.0,0.0,0.04,1.26,1.23
Aranno,0.0,0.0,19.74,0.0,12.26,0.13,0.26,27.74,12.9,0.0,7.74,17.16,0.0,0.0,0.0,2.06
Arbaz,0.0,1.18,35.4,0.0,15.62,0.0,0.0,19.51,17.28,0.0,10.44,0.0,0.0,0.0,0.0,0.58
Arbedo-Castione,0.0,0.0,17.02,0.0,25.01,0.81,0.39,17.61,9.41,0.0,3.79,22.54,0.0,0.0,0.0,3.41
Arboldswil,1.24,0.0,3.71,3.71,13.98,0.68,0.0,14.1,46.32,2.72,13.36,0.0,0.0,0.0,0.0,0.19
Arbon,2.5,0.0,15.99,1.58,14.3,4.2,0.0,18.37,33.56,3.01,6.35,0.0,0.0,0.0,0.0,0.13
Arch,21.14,0.0,1.46,2.67,7.81,4.0,0.08,9.92,45.96,1.16,3.43,0.0,0.0,1.27,0.0,1.11
Arconciel,1.78,2.19,22.01,0.1,15.03,4.58,0.0,27.87,22.21,0.0,4.23,0.0,0.0,0.0,0.0,0.0
Ardon,0.0,1.3,36.92,0.0,28.18,0.0,0.0,11.23,17.52,0.0,4.51,0.0,0.0,0.0,0.0,0.34
Arisdorf,5.15,0.0,5.0,1.06,15.55,2.42,0.0,13.69,43.88,0.2,12.65,0.0,0.0,0.0,0.0,0.4
Aristau,5.2,0.0,15.18,1.6,11.54,4.31,0.0,8.1,46.69,0.93,5.18,0.0,0.0,0.0,0.0,1.27
Arlesheim,2.02,0.0,10.28,1.2,19.55,3.36,0.0,21.61,18.64,0.24,22.11,0.0,0.0,0.0,0.0,0.98
Arnex-sur-Nyon,3.78,0.0,4.41,0.63,39.51,4.41,0.0,7.11,22.86,0.27,14.58,0.0,0.0,0.09,0.09,2.25
Arnex-sur-Orbe,3.69,0.0,1.9,0.3,19.88,3.58,0.0,22.78,31.16,0.22,11.44,0.0,0.0,0.03,2.01,3.04
Arni (AG),7.34,0.0,7.51,1.57,18.17,6.83,0.0,11.62,39.19,0.4,5.17,0.0,0.0,0.0,0.0,2.21
Arni (BE),11.7,0.0,0.61,2.6,4.93,3.02,0.0,7.11,59.49,3.59,4.79,0.0,0.0,1.1,0.0,1.07
Arogno,0.0,0.0,10.35,0.0,25.83,0.38,0.51,21.14,5.24,0.0,4.62,29.53,0.0,0.0,0.0,2.4
Arosa,17.98,0.0,7.24,0.0,15.41,7.9,0.0,13.68,37.42,0.0,0.0,0.0,0.0,0.0,0.0,0.36
Arth,0.0,0.0,20.34,0.0,20.58,3.56,0.0,15.54,38.32,0.0,1.66,0.0,0.0,0.0,0.0,0.0
Arzier-Le Muids,2.75,0.0,6.86,1.21,24.81,5.83,0.0,14.46,29.63,0.82,8.9,0.0,0.0,0.06,1.56,3.12
Ascona,0.0,0.0,18.01,0.0,32.49,1.33,0.48,11.17,17.32,0.0,3.16,14.28,0.0,0.0,0.0,1.75
Assens,1.62,0.0,12.1,0.23,26.87,3.84,0.0,18.22,26.03,0.67,7.8,0.0,0.0,0.05,1.1,1.47
Astano,0.0,0.0,4.88,0.0,8.38,2.97,0.74,20.15,19.41,0.0,8.91,29.27,0.0,0.0,0.0,5.3
Attalens,1.18,2.1,20.13,0.85,11.83,3.22,0.0,24.99,28.0,1.02,6.68,0.0,0.0,0.0,0.0,0.0
Attelwil,1.81,0.0,2.0,7.72,7.26,0.93,0.0,9.67,62.14,1.53,4.0,0.0,0.0,0.0,0.0,2.93
Attinghausen,0.0,0.0,35.44,0.0,0.0,0.0,0.0,0.0,42.34,0.0,19.07,0.0,0.0,0.0,0.0,3.15
Attiswil,14.1,0.0,1.5,0.96,11.4,2.23,0.04,15.78,47.91,2.22,2.57,0.0,0.0,0.24,0.0,1.06
Au (SG),3.74,0.0,16.59,1.09,15.04,5.26,0.0,11.41,40.06,0.59,4.79,0.0,0.0,0.12,0.0,1.33
Aubonne,2.44,0.0,4.17,1.98,31.6,5.24,0.0,19.32,19.92,0.54,10.28,0.0,0.0,0.0,1.81,2.7
Auboranges,0.47,1.56,23.4,0.31,13.26,3.28,0.0,12.95,42.28,0.16,2.34,0.0,0.0,0.0,0.0,0.0
Auenstein,8.19,0.0,3.84,5.67,17.89,8.3,0.0,13.35,37.62,0.28,3.55,0.0,0.0,0.0,0.0,1.31
Augst,3.41,0.0,7.88,1.66,15.26,2.44,0.0,21.3,33.29,0.41,13.65,0.0,0.0,0.0,0.0,0.69
Ausserberg,0.0,0.0,63.94,0.0,1.75,0.0,0.0,8.92,22.46,0.0,2.58,0.0,0.0,0.0,0.0,0.36
Auswil,12.46,0.0,0.55,3.62,3.45,2.93,0.08,6.55,58.44,3.85,6.17,0.0,0.0,0.29,0.0,1.6
Autafond,0.0,0.0,47.23,0.0,29.36,0.0,0.0,1.28,21.7,0.43,0.0,0.0,0.0,0.0,0.0,0.0
Autigny,0.22,4.07,20.52,0.89,13.11,1.78,0.0,20.64,31.57,0.56,6.64,0.0,0.0,0.0,0.0,0.0
Auw,4.52,0.0,24.11,3.72,10.37,2.86,0.0,6.93,42.22,0.69,2.54,0.0,0.0,0.0,0.0,2.05
Avegno Gordevio,0.0,0.0,26.73,0.0,19.24,0.82,0.78,18.66,11.43,0.0,3.4,14.72,0.0,0.0,0.0,4.23
Avenches,3.13,0.0,2.85,0.6,23.06,3.2,0.0,23.63,27.54,6.27,5.46,0.0,0.0,0.04,1.23,2.97
Avers,32.7,0.0,12.43,0.0,8.92,7.3,0.0,11.35,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avry,0.73,2.83,21.97,0.56,19.64,3.01,0.0,24.37,19.67,0.15,7.08,0.0,0.0,0.0,0.0,0.0
Avully,0.92,0.0,10.7,0.55,15.0,2.25,0.0,24.61,19.16,0.25,13.73,0.0,8.5,0.0,4.24,0.08
Avusy,1.51,0.0,20.5,0.16,22.99,2.15,0.0,13.51,15.64,0.54,12.71,0.0,6.85,0.0,3.37,0.08
Ayent,0.0,1.92,35.7,0.0,12.79,0.0,0.0,27.21,15.47,0.0,6.54,0.0,0.0,0.0,0.0,0.38
Baar,0.0,0.0,23.06,0.0,15.94,3.39,0.0,15.98,32.6,0.0,8.15,0.0,0.0,0.0,0.0,0.88
Bachenbülach,4.64,0.0,3.34,5.18,15.81,7.18,0.12,16.58,35.42,4.55,3.69,0.0,0.0,0.3,0.0,3.17
Bachs,2.38,0.0,0.6,1.6,5.47,5.09,0.0,12.34,54.29,11.48,5.48,0.0,0.0,0.24,0.0,1.04
Bad Ragaz,6.49,0.0,14.3,0.83,16.37,6.07,0.0,11.63,37.57,0.63,3.78,0.0,0.0,0.51,0.0,1.81
Bad Zurzach,3.92,0.0,12.98,1.69,13.37,3.19,0.0,18.35,39.56,1.57,4.24,0.0,0.0,0.0,0.0,1.13
Baden,3.82,0.0,10.08,2.2,18.32,8.73,0.0,22.67,20.03,0.36,11.57,0.0,0.0,0.0,0.0,2.21
Bagnes,0.0,1.89,41.39,0.0,26.29,0.0,0.0,9.45,15.55,0.0,5.12,0.0,0.0,0.0,0.0,0.31
Baldingen,4.35,0.0,9.41,2.74,13.64,5.9,0.0,11.49,44.61,1.61,4.11,0.0,0.0,0.0,0.0,2.14
Balerna,0.0,0.0,21.71,0.0,21.8,0.56,1.07,16.54,7.01,0.0,4.06,24.89,0.0,0.0,0.0,2.36
Balgach,2.24,0.0,17.31,1.34,18.58,6.0,0.0,10.7,36.29,0.72,4.85,0.0,0.0,0.04,0.0,1.92
Ballaigues,2.32,0.0,4.25,1.26,17.66,3.26,0.0,20.59,38.13,1.62,8.04,0.0,0.0,0.05,1.01,1.8
Ballens,5.01,0.0,2.69,0.54,25.51,4.54,0.0,16.71,32.94,0.54,5.78,0.0,0.0,0.0,2.39,3.36
Ballwil,1.14,0.0,26.35,0.36,16.57,5.26,0.0,5.77,40.33,0.0,3.59,0.0,0.0,0.1,0.0,0.52
Balm bei Günsberg,4.44,0.0,16.67,0.0,21.85,6.48,0.0,15.0,30.56,0.0,3.89,0.0,0.0,0.0,0.0,1.11
Balsthal,2.15,0.0,22.12,0.82,23.52,2.29,0.0,13.0,31.74,1.08,2.0,0.0,0.0,0.0,0.0,1.29
Baltschieder,0.0,0.06,54.15,0.0,2.82,0.0,0.0,11.98,29.89,0.0,1.09,0.0,0.0,0.0,0.0,0.0
Bangerten,21.7,0.0,0.19,0.25,7.34,8.52,1.24,8.15,47.95,0.06,4.23,0.0,0.0,0.12,0.0,0.25
Bannwil,11.31,0.0,0.82,1.89,6.3,3.46,0.17,16.37,50.51,1.62,4.81,0.0,0.0,0.82,0.0,1.92
Barberêche,2.3,2.68,23.83,0.54,15.1,1.99,0.0,17.93,26.9,0.08,8.66,0.0,0.0,0.0,0.0,0.0
Bardonnex,0.56,0.0,25.64,0.4,22.62,1.88,0.0,13.09,12.59,0.05,11.65,0.0,7.06,0.0,4.24,0.21
Bargen (BE),15.68,0.0,1.46,2.89,4.72,4.19,0.04,17.62,38.98,5.27,5.69,0.0,0.0,1.19,0.0,2.27
Bargen (SH),0.0,0.0,0.0,0.0,7.5,0.0,0.0,15.0,68.33,2.92,4.58,0.0,0.0,0.0,0.0,1.67
Bas-Intyamon,1.53,0.67,32.13,0.31,19.56,2.04,0.0,19.13,20.86,1.1,2.67,0.0,0.0,0.0,0.0,0.0
Bas-Vully,4.43,0.94,10.33,0.23,20.64,7.24,0.0,24.29,25.58,1.01,5.32,0.0,0.0,0.0,0.0,0.0
Basadingen-Schlattingen,5.11,0.0,6.71,1.69,8.03,4.93,0.0,13.57,52.34,2.89,4.32,0.0,0.0,0.0,0.0,0.41
Basel,1.13,0.0,6.04,1.9,20.22,4.97,0.0,35.05,16.83,0.3,12.15,0.0,0.0,0.0,0.0,1.4
Basse-Allaine,0.0,2.12,47.75,0.0,21.4,0.0,0.44,17.68,6.98,0.0,3.45,0.0,0.0,0.0,0.0,0.18
Bassersdorf,5.35,0.0,4.77,2.9,13.7,6.89,0.06,17.87,37.11,3.67,4.65,0.0,0.0,0.27,0.0,2.77
Bassins,2.84,0.0,5.34,0.76,22.66,5.16,0.0,19.43,29.89,0.05,10.21,0.0,0.0,0.02,0.92,2.71
Bauen,0.0,0.0,30.43,0.0,0.0,0.0,0.0,0.0,40.58,0.0,27.54,0.0,0.0,0.0,0.0,1.45
Baulmes,2.68,0.0,3.01,0.26,14.89,0.84,0.0,23.84,34.45,2.21,11.52,0.0,0.0,0.02,2.33,3.96
Bauma,3.13,0.0,2.73,8.21,8.08,4.52,0.57,13.05,45.55,6.47,5.17,0.0,0.0,0.13,0.0,2.39
Bavois,1.68,0.0,3.75,2.29,11.83,4.05,0.0,18.37,40.22,0.92,9.91,0.0,0.0,0.09,3.29,3.62
Beatenberg,9.63,0.0,0.8,5.24,3.97,3.69,0.04,9.85,50.55,6.71,7.78,0.0,0.0,0.77,0.0,0.96
Beckenried,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.85,0.0,0.0,0.0,0.0,0.0,0.0,16.15
Bedano,0.0,0.0,15.09,0.0,21.74,1.01,0.4,15.87,12.19,0.0,2.18,29.39,0.0,0.0,0.0,2.13
Bedigliora,0.0,0.0,19.12,0.0,14.01,2.26,2.02,21.44,11.52,0.0,1.19,26.43,0.0,0.0,0.0,2.02
Bedretto,0.0,0.0,46.8,0.0,13.79,0.0,0.19,2.14,14.56,0.0,2.14,14.76,0.0,0.0,0.0,5.63
Beggingen,0.0,0.0,0.0,0.0,6.61,0.0,0.0,10.71,66.43,10.36,1.43,0.0,0.0,0.0,0.0,4.46
Begnins,1.77,0.0,6.91,0.32,27.02,4.07,0.0,17.76,23.8,0.1,12.0,0.0,0.0,0.52,2.86,2.87
Beinwil (Freiamt),4.28,0.0,20.87,2.11,10.66,3.51,0.0,3.46,47.09,0.68,3.77,0.0,0.0,0.0,0.0,3.57
Beinwil (SO),0.89,0.0,34.35,0.0,27.88,4.06,0.0,7.1,19.01,2.03,4.06,0.0,0.0,0.0,0.0,0.63
Beinwil am See,6.1,0.0,3.15,3.5,18.59,4.79,0.0,16.79,37.28,1.18,6.62,0.0,0.0,0.0,0.0,1.99
Belfaux,1.23,1.72,30.34,0.49,7.62,2.14,0.0,33.12,17.71,0.81,4.83,0.0,0.0,0.0,0.0,0.0
Bellach,3.44,0.0,13.76,0.81,23.36,2.26,0.0,17.23,31.61,0.52,6.19,0.0,0.0,0.0,0.0,0.83
Bellevue,1.19,0.0,11.34,0.35,28.81,3.22,0.0,15.46,19.02,0.14,11.98,0.0,5.84,0.0,2.3,0.36
Bellikon,5.55,0.0,9.68,2.18,16.42,4.41,0.0,14.01,41.53,1.02,3.52,0.0,0.0,0.0,0.0,1.69
Bellinzona,0.0,0.0,17.15,0.0,28.22,0.84,0.63,23.47,7.8,0.0,3.88,15.62,0.0,0.0,0.0,2.37
Bellmund,15.36,0.0,2.0,3.65,19.32,7.18,0.07,14.53,28.4,1.57,5.49,0.0,0.0,0.35,0.0,2.08
Bellwald,0.0,0.0,49.02,0.0,3.49,0.0,0.0,13.58,28.61,0.0,5.3,0.0,0.0,0.0,0.0,0.0
Belmont-sur-Lausanne,1.47,0.0,6.18,0.87,32.09,4.94,0.0,20.32,16.03,0.41,11.49,0.0,0.0,0.06,2.89,3.26
Belmont-sur-Yverdon,3.03,0.0,3.73,2.04,26.73,2.93,0.0,13.26,33.08,0.0,12.27,0.0,0.0,0.0,0.5,2.43
Belp,12.87,0.0,2.2,4.89,8.92,6.14,0.2,17.73,34.08,4.88,5.79,0.0,0.0,0.48,0.0,1.82
Belprahon,3.56,0.0,12.33,0.43,9.92,2.21,6.99,22.13,31.45,1.86,4.19,0.0,0.0,1.07,0.0,3.87
Benken (SG),4.22,0.0,25.8,0.43,10.05,3.16,0.0,5.57,43.26,1.37,4.11,0.0,0.0,0.55,0.0,1.49
Benken (ZH),9.63,0.0,1.59,1.41,10.86,3.84,0.05,11.94,43.81,5.66,9.44,0.0,0.0,0.36,0.0,1.41
Bennwil,2.84,0.0,4.7,2.1,12.06,2.66,0.0,11.94,47.8,0.62,14.78,0.0,0.0,0.0,0.0,0.49
Bercher,2.42,0.0,4.54,1.17,25.59,3.97,0.0,19.2,24.66,0.24,11.19,0.0,0.0,0.03,2.58,4.41
Berg (SG),4.16,0.0,16.96,4.73,11.46,5.14,0.0,11.24,36.62,1.15,3.82,0.0,0.0,0.02,0.0,4.69
Berg (TG),3.24,0.0,15.68,4.33,12.83,6.74,0.0,6.49,41.14,6.51,2.92,0.0,0.0,0.0,0.0,0.12
Berg am Irchel,8.23,0.0,2.88,3.18,10.59,7.91,0.05,7.67,50.15,1.94,4.22,0.0,0.0,0.02,0.0,3.16
Bergdietikon,6.88,0.0,4.36,1.89,19.54,6.69,0.0,9.33,45.03,0.6,3.93,0.0,0.0,0.0,0.0,1.74
Bergün/Bravuogn,11.45,0.0,7.59,0.0,12.41,15.03,0.0,28.41,24.97,0.0,0.0,0.0,0.0,0.0,0.0,0.14
Berikon,5.13,0.0,11.61,1.92,15.97,5.94,0.0,15.57,37.21,0.57,4.3,0.0,0.0,0.0,0.0,1.77
Beringen,0.0,0.0,0.0,0.0,13.78,0.0,0.0,24.71,50.44,5.79,2.68,0.0,0.0,0.0,0.0,2.6
Berken,4.92,0.0,0.46,0.0,3.69,6.15,3.85,0.0,73.23,0.0,0.0,0.0,0.0,0.0,0.0,7.69
Berlingen,4.4,0.0,10.79,2.09,15.65,7.64,0.0,15.86,34.71,2.51,5.97,0.0,0.0,0.0,0.0,0.37
Bern,7.03,0.0,2.57,2.74,9.92,9.38,1.4,34.33,12.39,0.8,17.39,0.0,0.0,0.24,0.0,1.82
Berneck,2.37,0.0,15.63,1.99,19.24,5.78,0.0,10.36,36.06,1.48,5.07,0.0,0.0,0.18,0.0,1.84
Bernex,0.74,0.0,18.53,0.95,19.39,1.95,0.0,19.42,15.64,0.14,12.41,0.0,6.35,0.0,4.05,0.42
Berolle,2.57,0.0,1.52,0.0,15.02,2.24,0.0,27.93,33.73,0.13,8.76,0.0,0.0,0.13,1.19,6.79
Beromünster,1.15,0.0,31.43,0.36,26.8,4.27,0.0,6.24,25.31,0.0,3.86,0.0,0.0,0.06,0.0,0.51
Besenbüren,10.43,0.0,8.43,2.94,5.26,6.58,0.0,8.52,51.44,0.0,4.88,0.0,0.0,0.0,0.0,1.53
Bettenhausen,15.71,0.0,1.23,1.95,5.13,4.23,0.0,17.64,48.41,1.11,2.18,0.0,0.0,1.16,0.0,1.24
Bettens,3.79,0.0,6.71,0.82,24.35,2.5,0.0,14.46,30.94,0.04,9.94,0.0,0.0,0.0,1.29,5.16
Bettingen,1.26,0.0,13.57,8.3,35.29,3.12,0.0,14.5,17.34,3.73,2.7,0.0,0.0,0.0,0.0,0.19
Bettlach,5.05,0.0,12.89,0.89,23.86,3.66,0.0,18.3,30.99,0.59,2.64,0.0,0.0,0.0,0.0,1.12
Bettmeralp,0.0,0.21,57.33,0.0,2.64,0.0,0.0,6.29,28.66,0.0,4.86,0.0,0.0,0.0,0.0,0.0
Bettwiesen,3.0,0.0,21.34,1.82,10.56,6.01,0.0,5.42,49.12,1.34,1.29,0.0,0.0,0.0,0.0,0.11
Bettwil,5.98,0.0,17.47,2.64,12.08,4.27,0.0,6.43,46.88,0.22,2.7,0.0,0.0,0.0,0.0,1.32
Beurnevésin,0.0,7.75,48.06,0.0,11.63,0.0,3.1,6.98,16.28,0.0,6.2,0.0,0.0,0.0,0.0,0.0
Bevaix,1.01,0.0,3.09,0.0,30.64,3.77,6.37,27.34,19.44,0.0,7.1,0.0,0.0,0.0,0.0,1.24
Bever,14.36,0.0,7.01,0.0,15.54,8.7,0.0,26.01,28.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bex,1.75,0.0,3.78,0.67,19.16,3.02,0.0,26.67,30.58,0.88,8.29,0.0,0.0,0.05,2.89,2.27
Biasca,0.0,0.0,19.0,0.0,25.07,0.71,1.24,19.67,8.88,0.0,1.44,21.61,0.0,0.0,0.0,2.38
Biberist,3.5,0.0,14.02,1.03,16.91,3.46,0.0,27.63,25.86,0.6,6.03,0.0,0.0,0.0,0.0,0.96
Biberstein,5.87,0.0,4.58,3.36,18.36,6.06,0.0,20.39,30.81,0.22,7.07,0.0,0.0,0.0,0.0,3.29
Bichelsee-Balterswil,1.46,0.0,25.79,1.52,10.31,3.25,0.0,7.58,42.51,1.88,5.32,0.0,0.0,0.0,0.0,0.38
